Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,1st Phase - General Contingent,1,Advertising and Marketing Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,139.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",130.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
Single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,136.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,119.3,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate
Single,1st Phase - General Contingent,2,Basic Education,Daytime,Secondary Education - 12th Year of Schooling or Eq.,133.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Administrative Staff,Unskilled Workers,130.2,Yes,No,No,Yes,Female,No,19,No,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,Short Cycle Diploma Holders,1,Tourism,Daytime,Professional Higher Technical Course,110.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,"Skilled Workers in Industry, Construction and Craftsmen",111.8,Yes,No,No,Yes,Female,Yes,21,No,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
Single,1st Phase - General Contingent,1,Veterinary Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,149.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",137.1,Yes,No,No,Yes,Female,Yes,18,No,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
Single,1st Phase - General Contingent,1,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,127.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,120.7,Yes,No,No,Yes,Female,No,20,No,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,3rd Phase - General Contingent,1,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,137.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,137.4,Yes,No,No,Yes,Female,No,18,No,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
Single,2nd Phase - General Contingent,2,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,135.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative Staff,127.3,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
Single,1st Phase - General Contingent,1,Equinculture,Daytime,Secondary Education - 12th Year of Schooling or Eq.,137.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",136.3,Yes,No,No,Yes,Female,No,20,No,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
Single,1st Phase - General Contingent,1,Basic Education,Daytime,Secondary Education - 12th Year of Schooling or Eq.,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",124.6,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
Single,1st Phase - General Contingent,3,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,122.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,120.3,No,No,No,Yes,Female,Yes,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
Single,3rd Phase - General Contingent,4,Oral Hygiene,Daytime,Secondary Education - 12th Year of Schooling or Eq.,127.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative Staff,"Skilled Workers in Industry, Construction and Craftsmen",121.8,Yes,No,No,Yes,Female,No,20,No,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
Single,1st Phase - General Contingent,4,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,142.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",125.5,Yes,No,No,Yes,Female,No,18,No,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate
Single,1st Phase - General Contingent,4,Advertising and Marketing Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,125.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative Staff,"Skilled Workers in Industry, Construction and Craftsmen",114.9,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate
Single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,126.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",123.9,No,No,No,Yes,Female,No,19,No,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
Single,1st Phase - General Contingent,1,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,151.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,157.0,Yes,No,Yes,Yes,Female,Yes,18,No,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
Single,2nd Phase - General Contingent,2,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,115.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,116.4,Yes,No,No,Yes,Female,No,21,No,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate
Single,1st Phase - General Contingent,1,Veterinary Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,138.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,131.0,Yes,No,No,Yes,Female,No,18,No,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
Single,1st Phase - General Contingent,1,Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,135.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,122.1,Yes,No,No,Yes,Female,No,20,No,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate
Single,2nd Phase - General Contingent,2,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,127.0,Portuguese,Higher Education - Degree,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Armed Forces Professions,118.8,Yes,No,No,Yes,Male,No,19,No,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
Single,Technological Specialization Diploma Holders,1,Agronomy,Daytime,Technological Specialization Course,150.0,Portuguese,Higher Education - Master's,Higher Education - Doctorate,Administrative Staff,Specialists in Intellectual and Scientific Activities,150.0,No,No,No,Yes,Male,No,21,No,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
Single,Change of Institution/Course,1,Communication Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,125.0,Portuguese,Professional Higher Technical Course,Higher Education - Degree,Specialists in Information and Communication Technologies (ICT),"Specialists in Finance, Accounting, Administrative Organization, Public and Commercial Relations",130.0,Yes,No,No,Yes,Male,No,20,No,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
Single,1st Phase - General Contingent,1,Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,143.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative Staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",138.8,No,No,No,No,Male,No,18,No,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
Single,3rd Phase - General Contingent,1,Social Service (Evening Attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,138.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",134.5,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
Single,1st Phase - General Contingent,1,Management (Evening Attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,130.0,Portuguese,Higher Education - Bachelor's Degree,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,131.4,No,No,No,Yes,Male,No,34,No,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate
Single,Over 23 Years Old,1,Biofuel Production Technologies,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",102.5,No,No,Yes,No,Male,No,37,No,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
Single,Over 23 Years Old,1,Informatics Engineering,Daytime,11th Year of Schooling - Not Completed,133.1,Portuguese,Unknown,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Student,Student,128.8,Yes,No,No,Yes,Male,No,43,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
Single,Change of Course,1,Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,140.0,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",122.9,No,No,No,Yes,Female,No,55,No,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
Divorced,Over 23 Years Old,1,Management (Evening Attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,120.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,113.9,Yes,No,No,Yes,Female,No,39,No,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
Single,Technological Specialization Diploma Holders,1,Equinculture,Daytime,Technological Specialization Course,120.0,Spanish,Higher Education - Master's,Higher Education - Master's,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120.0,No,No,Yes,No,Female,No,20,Yes,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
Single,1st Phase - General Contingent,5,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,126.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,121.1,No,No,Yes,Yes,Female,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,1st Phase - General Contingent,2,Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,133.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction and Craftsmen",120.4,Yes,No,No,Yes,Female,No,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
Single,1st Phase - General Contingent,6,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,103.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,100.6,Yes,Yes,No,Yes,Female,No,22,No,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
Single,2nd Phase - General Contingent,1,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,120.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",121.4,No,No,No,No,Female,No,20,No,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
Single,Over 23 Years Old,1,Management (Evening Attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,133.1,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Unskilled Workers,Unskilled Workers,109.7,No,No,No,Yes,Female,No,29,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,2nd Phase - General Contingent,1,Management (Evening Attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,154.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative Staff,"Personal Services, Security and Safety Workers and Sellers",134.1,No,No,No,Yes,Female,No,24,No,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
Single,2nd Phase - General Contingent,2,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
Single,2nd Phase - General Contingent,6,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,132.0,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",132.4,Yes,No,No,Yes,Female,Yes,22,No,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate
Single,Technological Specialization Diploma Holders,1,Social Service (Evening Attendance),Evening,Technological Specialization Course,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,133.4,No,No,No,Yes,Female,Yes,21,No,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
Single,1st Phase - General Contingent,1,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,139.0,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126.1,No,No,No,Yes,Female,Yes,19,No,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
Single,Over 23 Years Old,1,Tourism,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",113.5,No,No,No,Yes,Female,Yes,24,No,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
Single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,139.0,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",121.3,Yes,No,No,Yes,Female,Yes,19,No,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
Single,1st Phase - General Contingent,1,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,127.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",121.8,Yes,No,No,Yes,Female,Yes,20,No,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
Single,1st Phase - General Contingent,3,Equinculture,Daytime,Secondary Education - 12th Year of Schooling or Eq.,167.0,Portuguese,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Other Situation,Other Situation,159.3,No,No,No,Yes,Female,No,19,No,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
Single,Over 23 Years Old,1,Management (Evening Attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.0,No,No,No,Yes,Female,No,27,No,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
Single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129.1,Yes,No,No,Yes,Female,No,18,No,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
Married,Holders of Other Higher Courses,1,Tourism,Daytime,Higher Education - Degree,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative Staff,Intermediate Level Technicians and Professions,130.0,No,No,No,Yes,Female,No,39,No,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
Single,Over 23 Years Old,1,Equinculture,Daytime,Higher Education - Degree (1st Cycle),129.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,155.3,Yes,No,No,Yes,Female,No,27,No,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
Single,2nd Phase - General Contingent,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,141.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,139.8,Yes,No,No,Yes,Female,No,18,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
Single,1st Phase - General Contingent,3,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,125.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 1st Cycle (4th/5th Year) or Equiv.,Administrative Staff,Unskilled Workers,115.2,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
